fare_id,route_id,origin_id,destination_id,contains_id
1150,10053,17_2,6350_1,
1150,10053,18_2,6278_9,
1150,10053,18_2,6321_9,
1150,10053,18_2,6350_1,
1150,10053,446_4,6291_9,
1150,10053,446_4,6316_9,
1150,10053,446_4,6340_1,
1150,10053,447_2,6291_9,
1150,10053,447_2,6316_9,
1150,10053,447_2,6340_1,
1150,10053,448_2,6291_9,
1150,10053,448_2,6316_9,
1150,10053,448_2,6340_1,
1150,10053,6143_2,6291_9,
1150,10053,6143_2,6316_9,
1150,10053,6143_2,6340_1,
1150,10053,6158_2,6291_9,
1150,10053,6158_2,6316_9,
1150,10053,6158_2,6340_1,
1150,10053,6166_2,6291_9,
1150,10053,6166_2,6316_9,
1150,10053,6166_2,6340_1,
1150,10053,6241_2,6291_9,
1150,10053,6241_2,6316_9,
1150,10053,6241_2,6340_1,
1150,10053,6278_1,14_1,
1150,10053,6278_1,15_1,
1150,10053,6278_1,16_1,
1150,10053,6278_1,17_1,
1150,10053,6278_1,18_1,
1150,10053,6291_1,446_3,
1150,10053,6291_1,447_1,
1150,10053,6291_1,448_1,
1150,10053,6291_1,6143_1,
1150,10053,6291_1,6158_1,
1150,10053,6291_1,6166_1,
1150,10053,6291_1,6241_1,
1150,10053,6291_1,9_1,
1150,10053,6316_1,446_3,
1150,10053,6316_1,447_1,
1150,10053,6316_1,448_1,
1150,10053,6316_1,6143_1,
1150,10053,6316_1,6158_1,
1150,10053,6316_1,6166_1,
1150,10053,6316_1,6241_1,
1150,10053,6316_1,9_1,
1150,10053,6321_1,14_1,
1150,10053,6321_1,15_1,
1150,10053,6321_1,16_1,
1150,10053,6321_1,17_1,
1150,10053,6321_1,18_1,
1150,10053,6340_9,446_3,
1150,10053,6340_9,447_1,
1150,10053,6340_9,448_1,
1150,10053,6340_9,6143_1,
1150,10053,6340_9,6158_1,
1150,10053,6340_9,6166_1,
1150,10053,6340_9,6241_1,
1150,10053,6340_9,9_1,
1150,10053,6350_1,17_1,
1150,10053,6350_1,18_1,
1150,10053,9_1,6291_9,
1150,10053,9_1,6316_9,
1150,10053,9_1,6340_1,
1200,10053,14_3,6350_1,
1200,10053,15_2,6350_1,
1200,10053,16_2,6350_1,
1200,10053,446_4,6278_9,
1200,10053,446_4,6309_9,
1200,10053,446_4,6321_9,
1200,10053,447_2,6278_9,
1200,10053,447_2,6309_9,
1200,10053,447_2,6321_9,
1200,10053,448_2,6278_9,
1200,10053,448_2,6309_9,
1200,10053,448_2,6321_9,
1200,10053,6143_2,6278_9,
1200,10053,6143_2,6309_9,
1200,10053,6143_2,6321_9,
1200,10053,6158_2,6278_9,
1200,10053,6158_2,6309_9,
1200,10053,6158_2,6321_9,
1200,10053,6166_2,6278_9,
1200,10053,6166_2,6309_9,
1200,10053,6166_2,6321_9,
1200,10053,6241_2,6278_9,
1200,10053,6241_2,6309_9,
1200,10053,6241_2,6321_9,
1200,10053,6278_1,446_3,
1200,10053,6278_1,447_1,
1200,10053,6278_1,448_1,
1200,10053,6278_1,6143_1,
1200,10053,6278_1,6158_1,
1200,10053,6278_1,6166_1,
1200,10053,6278_1,6241_1,
1200,10053,6278_1,9_1,
1200,10053,6309_1,446_3,
1200,10053,6309_1,447_1,
1200,10053,6309_1,448_1,
1200,10053,6309_1,6143_1,
1200,10053,6309_1,6158_1,
1200,10053,6309_1,6166_1,
1200,10053,6309_1,6241_1,
1200,10053,6309_1,9_1,
1200,10053,6321_1,446_3,
1200,10053,6321_1,447_1,
1200,10053,6321_1,448_1,
1200,10053,6321_1,6143_1,
1200,10053,6321_1,6158_1,
1200,10053,6321_1,6166_1,
1200,10053,6321_1,6241_1,
1200,10053,6321_1,9_1,
1200,10053,6350_1,14_1,
1200,10053,6350_1,15_1,
1200,10053,6350_1,16_1,
1200,10053,9_1,6278_9,
1200,10053,9_1,6309_9,
1200,10053,9_1,6321_9,
1250,10053,446_4,6350_1,
1250,10053,447_2,6350_1,
1250,10053,448_2,6350_1,
1250,10053,6143_2,6350_1,
1250,10053,6158_2,6350_1,
1250,10053,6166_2,6350_1,
1250,10053,6241_2,6350_1,
1250,10053,6350_1,446_3,
1250,10053,6350_1,447_1,
1250,10053,6350_1,448_1,
1250,10053,6350_1,6143_1,
1250,10053,6350_1,6158_1,
1250,10053,6350_1,6166_1,
1250,10053,6350_1,6241_1,
1250,10053,6350_1,9_1,
1250,10053,9_1,6350_1,
170,10063,6010_1,6253_2,
170,10063,6010_1,6254_1,
170,10063,6010_9,6153_1,
170,10063,6153_2,6010_1,
170,10063,6153_2,6253_2,
170,10063,6153_2,6254_1,
170,10063,6164_2,6254_2,
170,10063,6253_1,6010_9,
170,10063,6253_1,6153_1,
170,10063,6253_2,6254_1,
170,10063,6254_1,6164_1,
170,10063,6254_2,6010_9,
170,10063,6254_2,6153_1,
170,10063,6254_2,6253_1,
170,10063,6259_2,6264_1,
170,10063,6264_1,6259_1,
180,10063,6010_1,6164_1,
180,10063,6153_2,6164_1,
180,10063,6164_2,6010_9,
180,10063,6164_2,6153_1,
180,10063,6164_2,6253_1,
180,10063,6253_2,6164_1,
200,10017,6036_1,6019_2,
200,10017,6036_1,6148_1,
200,10017,6122_1,6019_2,
200,10017,6122_1,6036_1,
200,10017,6122_1,6148_1,
200,10017,6122_1,6150_1,
200,10017,6144_1,6019_2,
200,10017,6144_1,6036_1,
200,10017,6144_1,6122_1,
200,10017,6144_1,6147_1,
200,10017,6144_1,6148_1,
200,10017,6144_1,6149_1,
200,10017,6144_1,6149_9,
200,10017,6144_1,6150_1,
200,10017,6145_1,6019_2,
200,10017,6145_1,6036_1,
200,10017,6145_1,6122_1,
200,10017,6145_1,6144_1,
200,10017,6145_1,6147_1,
200,10017,6145_1,6148_1,
200,10017,6145_1,6149_1,
200,10017,6145_1,6149_9,
200,10017,6145_1,6150_1,
200,10017,6147_1,6019_2,
200,10017,6147_1,6036_1,
200,10017,6147_1,6122_1,
200,10017,6147_1,6148_1,
200,10017,6147_1,6150_1,
200,10017,6148_1,6019_2,
200,10017,6149_1,6019_2,
200,10017,6149_1,6036_1,
200,10017,6149_1,6122_1,
200,10017,6149_1,6147_1,
200,10017,6149_1,6148_1,
200,10017,6149_1,6149_9,
200,10017,6149_1,6150_1,
200,10017,6149_9,6019_2,
200,10017,6149_9,6036_1,
200,10017,6149_9,6122_1,
200,10017,6149_9,6147_1,
200,10017,6149_9,6148_1,
200,10017,6149_9,6150_1,
200,10017,6150_1,6019_2,
200,10017,6150_1,6036_1,
200,10017,6150_1,6148_1,
200,10031,6031_1,6042_1,
200,10031,6031_1,6176_1,
200,10031,6031_1,6181_1,
200,10031,6031_1,6200_1,
200,10031,6031_1,6206_1,
200,10031,6031_1,6246_1,
200,10031,6031_2,6039_1,
200,10031,6039_1,6031_1,
200,10031,6039_1,6042_1,
200,10031,6039_1,6176_1,
200,10031,6039_1,6181_1,
200,10031,6039_1,6200_1,
200,10031,6039_1,6206_1,
